qid,question,unit,tfidf_sum,word_count,tfidf_norm,len_norm,score,difficulty
1(a),List the main purpose of Data Warehouse.,,2.9738517323163203,8,0.3152315390027421,0.22222222220987653,0.27802781228559587,Easy
1(b),Define User Interface in BI.,,2.63431429819648,6,0.18242113167703283,0.11111111110493826,0.153897123448195,Easy
1(c),List the phases in the cyclical process of a Business Intelligence analysis.,,3.5868113180815984,13,0.5549912947148378,0.4999999999722222,0.5329947768177916,Medium
1(d),Define Business Intelligence.,,2.219334934419692,4,0.020101538028025882,0.0,0.012060922816815528,Easy
1(e),Identify one chart type commonly used to display the distribution of numerical data in Tableau.,,4.306782485108009,16,0.8366087375850539,0.6666666666296296,0.7686319092028842,Hard
1(f),Define Gantt chart in Tableau.,,2.5812844854733523,6,0.16167846733305097,0.11111111110493826,0.1414515248418059,Easy
1(g),How to customize maps in Tableau?,,2.1679441979455554,7,0.0,0.1666666666574074,0.06666666666296296,Easy
1(h),What are the supported data types in Tableau’?,,2.5682399009342567,10,0.15657606502939078,0.3333333333148148,0.22727897234356037,Easy
1(i),How can predefined fields be utilized in data analysis within a tool like Tableau?,,3.810222067023112,15,0.6423786328585067,0.6111111110771605,0.6298716241459683,Medium
1(j),Define the concept of discretizing data and provide an example of its application.,,3.576645304367326,14,0.551014848271543,0.5555555555246914,0.5528311311728024,Medium
1(k),List the importance of aggregating data when creating user-defined fields for analysis.,,4.096114391419111,13,0.7542057018023249,0.4999999999722222,0.6525234210702838,Medium
1(l),What are the supported file extensions in Tableau?,,2.587139291399984,9,0.16396858053351332,0.2777777777623457,0.20949225942504626,Easy
1(m),What are the different joins in Tableau?,,2.1686840591192995,8,0.0002893974389131862,0.22222222220987653,0.08906252734729853,Easy
1(n),Differentiate between live connection and an extract.,,2.643754791788488,8,0.18611379019805993,0.22222222220987653,0.2005571630027866,Easy
2(a),Explain the importance of Business Analytics. (7M),I,2.938128011872369,10,0.30125816998188665,0.3333333333148148,0.3140882353150579,Easy
2(b),What is the emergence of data visualization and visual analytics? (7M),I,3.2551288953130273,14,0.4252533829441897,0.5555555555246914,0.4773742519763904,Medium
3(a),Explain cyclical process of a business intelligence analysis. (7M),I,3.554749926974877,12,0.5424504494812319,0.44444444441975306,0.5032480474566403,Medium
3(b),Wnte about Business Performance Management. (7M),I,2.9400706726358066,9,0.30201804368463936,0.2777777777623457,0.29232193731572187,Easy
4(a),How to create bivariate charts in tableau with examples. (7M),II,3.228310935909923,13,0.4147635112715613,0.4999999999722222,0.4488581067518257,Medium
4(b),Differentiate between a tree and heat map. (7M),II,2.9508801059029914,11,0.3062461643302946,0.38888888886728395,0.3393032541450903,Easy
5(a),How to perform swapping rows and columns in bivariate charts using tableau with example. (7M),II,4.286683492501315,18,0.828746996502363,0.7777777777345679,0.808359308995245,Hard
5(b),How to use polygon shapes for visualization using tableau. (7M),II,3.516098841694007,13,0.5273320387733237,0.4999999999722222,0.5163992232528831,Medium
6(a),Explain Number and String functions with examples in Tableau. (7M),III,3.5106321987708173,13,0.525193755920315,0.4999999999722222,0.5151162535410779,Medium
6(b),"Write about Color, Size, Text, Detail and ToolTip in marks card with examples. (7M)",III,4.080424091724573,20,0.7480684253665295,0.8888888888395061,0.8043966107557201,Hard
7,Explain Date and Type functions with examples in Tableau.,III,3.2580393992711145,10,0.42639182948160514,0.3333333333148148,0.38916843101488896,Medium
8(a),What is the difference between Joining and Blending? (7M),IV,2.591263658426853,12,0.16558183082569125,0.44444444441975306,0.277126876263316,Easy
8(b),What are the filters? Name the different filters in Tableau. (7M),IV,2.540891956172038,15,0.14587888905288462,0.6111111110771605,0.331971777862595,Easy
9(a),"Explain about formatting title, caption and reference lines in Tableau. (7M)",IV,3.779116085142572,15,0.6302114969003474,0.6111111110771605,0.6225713425710726,Medium
9(b),Illustrate with an example how to add change parameter and change set values actions in dashboard/worksheet in Tableau. (7M),IV,4.724501630634811,22,0.999999999608849,0.9999999999444444,0.9999999997430872,Hard
